Trait,sigma2_g,sigma2_gxe,sigma2_block,sigma2_e
NDVI3,3.51E-04,4.10E-05,4.00E-04,0.001157394
NDVI6,2.62E-04,0,5.08E-04,0.034626544
NDVI9,1.32E-04,9.41E-04,1.56E-04,0.002920825
HI,0.004757048,0.002118828,4.45E-04,0.0048985
LODG,0.621929769,0.267155136,0.015468249,1.983990338
ANGBR9,491.4472913,200.7830707,9.273500687,194.4541263
TYLD,35.71753264,24.73239427,1.839483345,86.64453048
DYLD,2.531368837,2.970049993,0.4697881,6.072319352
FYLD,34.05111404,24.32624897,4.410114827,55.98229084
STARCH,5.403656339,4.842829979,0.1670278,4.015987896
DM,3.047438916,2.730234025,0.094285196,2.264956839
RTWT,25.46495887,21.06081872,3.375728715,41.70421209
SHTWT,26.99671833,18.56400548,1.021040215,58.61984555